name,city,state
New York Chinese Restaurant,Las Vegas,NV
Pumi Express,Las Vegas,NV
Lee's Garden,Madison,WI
New China Super Buffet,Sun City,AZ
Rose Garden Chinese Restaurant,Henderson,NV
Yum Yum China,Tempe,AZ
Hula Hawaiian Barbeque,Buckeye,AZ
Asian Cafe,Phoenix,AZ
J Chen,Cave Creek,AZ
Hot Wok Chinese Restaurant,Chandler,AZ
South China Express,Phoenix,AZ
China 1,Mesa,AZ
Chens Chinese Bistro,Florence,AZ
Bobo China,Queen Creek,AZ
Great Wall Chinese Restaurant,Gold Canyon,AZ
Golden Gate Chinese Restaurant,Henderson,NV
New York Chinese Restaurant,Las Vegas,NV
Dragon Bowl,Las Vegas,NV
Grand China,Henderson,NV
Pacific Buffet,Las Vegas,NV
China One,Las Vegas,NV
China Wok,North Las Vegas,NV
Ichiban,Las Vegas,NV
1 Eastern Super Buffet,Mesa,AZ
Sizzling Wok Restaurant,Mint Hill,NC
Garden of the Dragon,Las Vegas,NV
Hsin Cafe,Phoenix,AZ
Zen Buffet,Glendale,AZ
QQ Express,Madison,WI
QQ Asian Buffet,Madison,WI
Red Dragon Chinese and Mexican Food,Phoenix,AZ
Little Dumpling Thai & Chinese Cuisine,Boulder City,NV
New York Wok,Glendale,AZ
Moon China,San Tan Valley,AZ
Chen's Chinese Bistro,Gold Canyon,AZ
Delicious & Best Chinese Food,Las Vegas,NV
Chang's Chinese Buffet,Glendale,AZ
Noodle & Rice,Phoenix,AZ
iKitchen,Chandler,AZ
China Magic Noodle House,Chandler,AZ
Rice Garden,Scottsdale,AZ
Golden City Chinese Restruant,Chandler,AZ
Beijing Chinese Cuisine,Charlotte,NC
Golden Harbor Authentic Chinese Cuisine,Champaign,IL
101 Asian Buffet,Phoenix,AZ
J & M Chinese Cuisine Restaurant,Mesa,AZ
Panda King's Buffet,Mesa,AZ
Segal's Oasis Grill,Phoenix,AZ
Hibachi Grill,Matthews,NC
Lee Asian Bistro,Madison,WI
Yummy Yummy Chinese Restaurant,Scottsdale,AZ
AJK Chinese Cuisine,Avondale,AZ
China A Go Go,Las Vegas,NV
HK Seafood Garden,Las Vegas,NV
Tai's Asian Bistro,Madison,WI
China Rice,Mesa,AZ
Dragon Island Chinese Restaurant,Phoenix,AZ
Jade Fine Chinese Dining,Phoenix,AZ
House of Mei,Sun Prairie,WI
Thai Style Noodle House 2,Las Vegas,NV
Yu's Cafe,Phoenix,AZ
Yummy House,Las Vegas,NV
Teriwoki,Las Vegas,NV
Yi Mei Champion Taiwan Deli,Las Vegas,NV
Shan Dong Chinese Restaurant,Las Vegas,NV
Lucky Dragon Chinese Restaurant,Pittsburgh,PA
Asian BBQ & Noodles,Las Vegas,NV
Chopstix,Champaign,IL
Mekong Palace,Mesa,AZ
U & Me Cafe,Las Vegas,NV
Golden China Chinese Cuisine,Las Vegas,NV
China Bowl,Charlotte,NC
Royal Buffet,Phoenix,AZ
Peking Tokyo,Fort Mill,SC
Orient House,Madison,WI
Yen's Gourmet,Pittsburgh,PA
Jimmy Woo's,Scottsdale,AZ
Pacific Seafood Buffet,Glendale,AZ
Wok Bar,Charlotte,NC
South China BBQ HongKong Style,Phoenix,AZ
Spicy City,Las Vegas,NV
Volcano Buffet,Mesa,AZ
HongKong Asian Diner,Tempe,AZ
Sunshine Moon Peking Pub,Scottsdale,AZ
China City Super Buffet,Avondale,AZ
Gold Chef,Chandler,AZ
Cottage Express,Charlotte,NC
Noodle Pot,Las Vegas,NV
New China Inn,Pittsburgh,PA
Otaku,Chandler,AZ
Lin's Grand Buffet,Phoenix,AZ
Tien Wong Hot Pot,Chandler,AZ
China Poblano,Las Vegas,NV
Dragon House,Las Vegas,NV
Wang's Delight,Chandler,AZ
Three Villages Restaurant,Las Vegas,NV
Hibachi Grill & Supreme Buffet,Phoenix,AZ
Oriental Jade,Chandler,AZ
China Gourmet,Matthews,NC
Las Vegas Chinatown Plaza,Las Vegas,NV
Asian Island,Scottsdale,AZ
Asian Garden,Pittsburrgh,PA
Umami Ramen & Dumpling Bar,Madison,WI
Lotus Chinese Restaurant & Lounge,Henderson,NV
Ichiban Sichuan,Madison,WI
China A Go Go,Las Vegas,NV
Yu's Chinese Express,Peoria,AZ
SN Pacific Rim Asian Kitchen,Mesa,AZ
E-Z Buffet,Phoenix,AZ
Chou's Kitchen,Chandler,AZ
Hibachi Grill & Supreme Buffet,Phoenix,AZ
Pan Asian,Las Vegas,NV
Jugoo Chinese Restaurant,Las Vegas,NV
Sichuan Gourmet,Pittsburgh,PA
House of Leng,Charlotte,NC
Little Shanghai,Pittsburgh,PA
Big Wong Restaurant,Las Vegas,NV
Red Wok Buffet,Phoenix,AZ
China Red Cafe,Litchfield Park,AZ
China One,Las Vegas,NV
Dragon Buffet,Las Vegas,NV
Asian House,Madison,WI
Food Express Chinese Restaurant,Las Vegas,NV
J&M Chinese Cuisine,Peoria,AZ
Shangri-La Chinese Cuisine,Glendale,AZ
Iron Chef,Phoenix,AZ
China Tango,Henderson,NV
New King Wah Chinese Buffet,Phoenix,AZ
China Gourmet,Las Vegas,NV
Beijing Noodle Cafe,Las Vegas,NV
BaBa's Chinese Kitchen,Las Vegas,NV
DumplingHaus,Madison,WI
China Garden,Henderson,NV
Rice Garden,Chandler,AZ
Bangkok 9,Las Vegas,NV
Great Bao,Las Vegas,NV
Rice & Company,Las Vegas,NV
Green Tea Restaurant,Mesa,AZ
Long Jin Chinese Cuisine,Las Vegas,NV
Chen's Chinese Bistro,Chandler,AZ
East Ocean Dim Sum & Seafood Restaurant,Henderson,NV
Cathay House,Las Vegas,NV
China Tango Bistro,Las Vegas,NV
Rice Inc - Chinese Cuisine,Charlotte,NC
Lucky Kitchen,Phoenix,AZ
Little HongKong,Las Vegas,NV
Noodle Express,Madison,WI
China Star,Madison,WI
Cool Ice Taipei Kitchen,Pittsburgh,PA
New Chin Chin,Charlotte,NC
Rainbow Garden,Urbana,IL
Tong's Cuisine,Pittsburgh,PA
China a Go Go,Las Vegas,NV
Asian One,Charlotte,NC
China City Super Buffet,Surprise,AZ
Szechwan Garden,Chandler,AZ
Dao Kitchen Asian Bistro,Phoenix,AZ
J's Noodle,Las Vegas,NV
Yan's Chinese Food #2,Phoenix,AZ
The Dynasty Cuisine,Matthews,NC
Chef Ben Sushi & Asian Express,Goodyear,AZ
Red Tea House,Pittsburgh,PA
Da Sheng Chinese Cuisine,Las Vegas,NV
Xing Asian Bistro,Henderson,NV
Kung Fu Chef,Las Vegas,NV
Szechuan,Madison,WI
China A Go Go,North Las Vegas,NV
China A GoGo,North Las Vegas,NV
Noodles & Company,Oakland,PA
Hunan Jiu Jia,Las Vegas,NV
Go Go China Bistro,Glendale,AZ
King Wong Chinese Food,Phoenix,AZ
China Roll,Las Vegas,NV
Harbor Palace Seafood Restaurant,Las Vegas,NV
HongKong Garden Seafood & BBQ Cafe,Las Vegas,NV
Tsing Tao Chinese Cuisine,Mesa,AZ
MeKong Restaurant,Pittsburgh,PA
Yummy Buffet,Chandler,AZ
MB China,North Las Vegas,NV
Matthews' Hibachi Grill,Matthews,NC
The Golden Palace Buffet,Pittsburgh,PA
Szechuan Cuisine,Chandler,AZ
Asian Garden,Las Vegas,NV
Booming Spot Mini Pot,Las Vegas,NV
Wok My World,Las Vegas,NV
Empire Asian Bistro,Mesa,AZ
China City Super Buffet,Phoenix,AZ
Fortune Cookie Chinese Restaurant,Charlotte,NC
China Buffet King,Pittsburgh,PA
Katana,Pittsburgh,PA
Golden China,Las Vegas,NV
Four Sevens Sports Bar & Restaurant,Las Vegas,NV
Foods 2 Go,Las Vegas,NV
New Asian Star,Tolleson,AZ
Noodle ChaCha,Henderson,NV
Fu Shing II,Charlotte,NC
Tasty Station,Las Vegas,NV
Szechwan Palace,Chandler,AZ
Veggie House,Las Vegas,NV
HongKong Asian Cuisine,Phoenix,AZ
Honey Bun's Cafeteria,Charlotte,NC
China One,Las Vegas,NV
Asian Cafe,Pittsburgh,PA
Deer Garden Signature,Mesa,AZ
International House of Food,Phoenix,AZ
Ah So,Las Vegas,NV
Tea Garden,Madison,WI
Tasty China,Las Vegas,NV
Big Heng,Phoenix,AZ
Sai Wan Bistro,Mesa,AZ
Lin's Golden Chinese Restaurant,Phoenix,AZ
Ming Fu,Matthews,NC
Oriental Buffet Grill & Sushi,Peoria,AZ
Pacific Gardens,Phoenix,AZ
Dragon I,Madison,WI
Big Wa Chinese,Tempe,AZ
Chen's Chinese Bistro,Gilbert,AZ
B&D's Kitchen,Edinburgh,MLN
Ling and Louie's Kitchen,Phoenix,AZ
Snoh Ice Shavery,Phoenix,AZ
Bund Shanghai,Las Vegas,NV
Hunan Bar,Pittsburgh,PA
China Gourmet,Las Vegas,NV
Shaanxi Gourmet,Las Vegas,NV
China Buffet,Charlotte,NC
South China Restaurant,Champaign,IL
HongKong Chinese Cuisine,Phoenix,AZ
Pacific Moon Chinese Cuisine,Fountain Hills,AZ
Fat Choy,Las Vegas,NV
New York Chinese Restaurant,Henderson,NV
Hao Bao,Phoenix,AZ
Qwik Chinese Bistro,Scottsdale,AZ
Fu Restaurant,Las Vegas,NV
U-Like World Buffet,Mesa,AZ
Kong  Fu Gyoza,Mesa,AZ
Beijing Garden Chinese,Phoenix,AZ
Rose Tea Cafe,Pittsburgh,PA
China Jade,Tempe,AZ
Miu's Cuisine,Tempe,AZ
Oriental Cuisine,Charlotte,NC
Shanghai,Edinburgh,MLN
Lotus Garden,Apache Junction,AZ
Chen's Wok,Pittsburgh,PA
Everyday Noodles,Pittsburgh,PA
Chop and Wok,Scottsdale,AZ
Simi's Cafe,Gilbert,AZ
Jade Dragon,Charlotte,NC
Stir Krazy Mongolian Grill,Las Vegas,NV
HongKong Kitchen 3,Phoenix,AZ
Zen Asian Diner,Pittsburgh,PA
Ann's Asian Bistro & Bar,Surprise,AZ
John's Chinese & Sushi Restaurant,Pittsburgh,PA
Max Asia Cafe,Chandler,AZ
Chopstix,Las Vegas,NV
Hao,Fountain Hills,AZ
China Max,Las Vegas,NV
Tang Dynasty,Urbana,IL
Tsuki House Japanese Steak House and Sushi Bar,Charlotte,NC
Chopstix,Las Vegas,NV
The Little Kitchen Cafe,Las Vegas,NV
1900 Asian Cuisine,Las Vegas,NV
Dragon Chinese Restaurant,Phoenix,AZ
"Akahana - Asian Bistro, Bar & Sushi",Fort Mill,SC
Liu's Kitchen,Las Vegas,NV
The Little Kitchen Cafe,Las Vegas,NV
Beijing Banquet,Dalkeith,MLN
George and Sons,Phoenix,AZ
China Jade,Scottsdale,AZ
Inchin Bamboo Garden,Paradise Valley,AZ
Winter In July - A Pop-Up Lunch with Yonaka and Snow Shavery,Las Vegas,NV
Auntie Lee's Chinese Kitchen,Champaign,IL
Fortunes,Las Vegas,NV
Sakina Thai Cuisine,Las Vegas,NV
Wok Up,Gilbert,AZ
The Original Las Vegas Buffet,Henderson,NV
Vogue Restaurant & Bar,Las Vegas,NV
Henry's Taiwan Kitchen,Tempe,AZ
China Buffet,Pittsburgh,PA
AJK Chinese Cusine,Avondale,AZ
Dim Sum Cafe,Las Vegas,NV
HongKong Asian Cuisine,Scottsdale,AZ
China One,Las Vegas,NV
Oasis Asian Kitchen,Las Vegas,NV
Grace Garden,Gilbert,AZ
Viet Bistro,Madison,WI
Double 10,Madison,WI
How Lee,Pittsburgh,PA
World Noodle,Las Vegas,NV
Red Mansion,Las Vegas,NV
Shun Jing,Charlotte,NC
The Clever Koi,Phoenix,AZ
8 Fortune Cusine,Peoria,AZ
Dumpling And Noodle house,Las Vegas,NV
China a Go Go,Henderson,NV
Jade Star,Sun City,AZ
Lin Buffet,Las Vegas,NV
China Wan Wan,Las Vegas,NV
Fat Dumpling,Las Vegas,NV
Grit & Grace,Pittsburgh,PA
Hunan Garden,Chandler,AZ
Kanda House,Pittsburgh,PA
Pan Asian Express,Las Vegas,NV
Buffet At Asia,Las Vegas,NV
Persuasian Restaurant,Charlotte,NC
International Eatery,Las Vegas,NV
Ichiban Buffet,Charlotte,NC
Magic Wok,Madison,WI
Kung Pao Wok,Las Vegas,NV
Vid Noodles,Las Vegas,NV
Taste Of China & Icy Bar,Las Vegas,NV
HongKong Station,Madison,WI
Gata Thai Cuisine,Henderson,NV
Best China,Peoria,AZ
Super No1 Chinese Restaurant,North Las Vegas,NV
Edamame Restaurant,Las Vegas,NV
Umai Sushi & Asian Bistro,Charlotte,NC
China Saute,Charlotte,NC
Henry's Private Kitchen,Mesa,AZ
China Bistro,Boulder City,NV
Beijing Express,Tempe,AZ
Sunny World,Mesa,AZ
The New Jugoo,Las Vegas,NV
Li's Asian,Tempe,AZ
Joe's Kitchen,Monona,WI
VIP,Madison,WI
Silver Dragon Chinese Restaurant,Phoenix,AZ
A & K Chinese Restaurant,Las Vegas,NV
Old Town Buffet,Pittsburgh,PA
Dumpling King,Las Vegas,NV
World Buffet,Madison,WI
5 Dollar Cafe,Las Vegas,NV
Oriental House,Las Vegas,NV
Szechuan Express,Las Vegas,NV
China Star,Monona,WI
Sizzling Hut,DeForest,WI
Nihao Chinese Food,Las Vegas,NV
Jade Palace,Scottsdale,AZ
Asian Express,Fort Mill,SC
Good Taste House,Phoenix,AZ
Bob Zip,Matthews,NC
Chef Ching's Kitchen,Las Vegas,NV
China A Go Go,Las Vegas,NV
Chopstix,Henderson,NV
Jade Grille,Pittsburgh,PA
China Asia Super Buffet,Phoenix,AZ
Chopstix,Henderson,NV
Wok Box,Chandler,AZ
Four Seasons Diner,Las Vegas,NV
Spicy City,Las Vegas,NV
Ding Hao Shanghai Bistro,Mesa,AZ
China Dragon,Las Vegas,NV
Lao Sze Chuan,Las Vegas,NV
Chun Fai Chinese Eatery,Las Vegas,NV
China AAA,Las Vegas,NV
Asian Sweet Bakery,Madison,WI
Green Tea Bistro,Mesa,AZ
Dinghao Shanghai Bistro,Mesa,AZ
Chef Ming's Chinese Cuisine,North Las Vegas,NV
Yong Kang Street,Las Vegas,NV
Happy Wok,Las Vegas,NV
Yong Kang Street,Las Vegas,NV
Mr. Cooks Chinese Cuisine,Phoenix,AZ
Vegas Buffet,Las Vegas,NV
Pho Rancho Asian Cuisine,Las Vegas,NV
Heng's Kitchen,Mesa,AZ
Pho Bistro,Las Vegas,NV
Hoso Sushi & Lobster Restaurant,Las Vegas,NV
Chengdu Gourmet,Pittsburgh,PA
Liang's Kitchen,Las Vegas,NV
Hao Chee Fresh Cafe,Matthews,NC
The Jade Restaurant,Las Vegas,NV
